Place,Date,Class,Description
"Jefferson County, Washington",November 1982,(Class B), - Elk Hunter recalls observing what he thought was another hunter near Lake Quinault
"Jefferson County, Washington",January 1982,(Class B), - Fishermen recount having large rocks thrown at them while fishing Steelhead on the Duckabush River
"Jefferson County, Washington",September 1981,(Class A), - Sighting by a hunter on the edge of a road
"Jefferson County, Washington",August 1980,(Class B), - Man remembers an encounter while fly fishing at a remote lake in the Olympic Mountains near Hood Canal
"Jefferson County, Washington",October 1977,(Class A), - Late night sighting on Highway 101 in between Forks and Kalaloch
"King County, Washington",April 2016,(Class B), - Unseen visitor unnerves 3 friends with repeated stick throwing near North Bend
"King County, Washington",October 2015,(Class B), - Possible vocalizations on Little Si Trail outside North Bend
"King County, Washington",May 2014,(Class B), - Couple awakened by very loud howls near Maple Valley
"King County, Washington",December 2012,(Class B), - New home owners hear possible screams near Issaquah
"King County, Washington",August 2009,(Class A)," - Man sees large, hair-covered figure while riding on train near the Cascade Tunnel"
"King County, Washington",August 2008,(Class B), - Backpacker hears possible vocalizations and wood knocking in the Alpine Lakes wilderness near North Bend
"King County, Washington",January 2008,(Class A), - Teen views ape-like animal crossing road quadrupedally at night in Enumclaw
"King County, Washington",March 2007,(Class B), - Woman walking dogs hears possible vocalizations and knocks in Marymoor Park
"King County, Washington",October 2005,(Class B), - Possible late night vocalizations heard outside Redmond
"King County, Washington",August 2005,(Class B), - Vocalizations near Scenic interrupt a campers quiet evening
"King County, Washington",July 2005,(Class B)," - Angler finds tracks, hears knocks and senses ominous presence east of North Bend"
"King County, Washington",June 2005,(Class A), - Late night sighting near Duvall
"King County, Washington",Fall 2004,(Class B), - Hiker Hears Loud Vocalizations and Thumps
"King County, Washington",July 2004,(Class B), - Outdoorsman hears vocalizations near Tinkham Campground
"King County, Washington",Summer mid 1980's,(Class B), - Family hears a howl while camping in the front yard
"King County, Washington",August 1984,(Class B), - Hiker hears roar north of Alpental Ski Resort at Snow Lake
"King County, Washington",Spring 1998 ,(Class B), - Huge footprints discovered in a Duvall garden
"King County, Washington",July 2002,(Class A), - Woman tells of daylight sighting while hiking near Mud Mountain Dam
"King County, Washington",May 2002,(Class B), - Hikers report possible stalking and rock/stick throwing in White River drainage near Muckleshoot Reservation
"King County, Washington",August 2000,(Class A), - Multiple witness sighting at Rattlesnake Lake
"King County, Washington",May 2000,(Class B), - Hiker encounters intimidating beating sounds and heavy running footsteps
"King County, Washington",June 1999,(Class A)," - Vocalization, followed by sighting near Carnation/Fall City"
"King County, Washington",May 1998,(Class B), - Two unsusual man-like tracks discovered
"King County, Washington",September 1996,(Class B), - Worse than something dead smell encountered by two fishermen
"King County, Washington",Fall 1995,(Class B), - Hikers hear loud vocal exchanges on Grass Mountain. 
"King County, Washington",September 1994,(Class B), - Fishing guides thought they were chased onto a dam
"King County, Washington",April 1992,(Class A), - Daytime sighting by horseback riders one mile from Green River Gorge Bridge
"King County, Washington",October 1991,(Class A), - Man recounts seeing a sasquatch while driving a logging road near Snoqualmie
"King County, Washington",December 1990,(Class A), - Truck Driver recalls daylight sighting east of North Bend
"King County, Washington",June 1990,(Class A)," - Hiker encounters huge, upright animal at creek on Grass Mountain"
"King County, Washington",December 1986,(Class A), - Morning daylight sighting around rural homes near Kent
"King County, Washington",October 1984,(Class A), - Creature observed by hunters
"King County, Washington",August 1984,(Class B), - High pitched wailing scream echoed off mountainside. 
"King County, Washington",August 1983,(Class C), - Father and son hear heavy footsteps made by an apparent bipedal creature
"King County, Washington",November 1982,(Class A)," - Two men, four wheel driving, see Sasquatch on FS road"
"King County, Washington",August 1977,(Class A)," - Early afternoon sighting by motorist on US Hwy 2, near Skykomish"
"King County, Washington",July 1975,(Class B), - Late night encounter by young campers in Maple Valley Wa
"King County, Washington",October 1974,(Class A), - Man remembers running home when he and his friend spot a tall hairy creature near Woodinville
"King County, Washington",Spring 1973,(Class A), - Creature seen running along a road
"King County, Washington",Summer 1970,(Class B), - Vocalizations heard by hikers
"King County, Washington",April 1970,(Class B), - Loud vocalizations heard near Stevens Pass
"Kitsap County, Washington",August 2021,(Class A), - Close-range 5:30am road crossing sighting by communting motorist five miles west of Bremerton
"Kitsap County, Washington",January 2011,(Class B), - Driver notices a tall dark figure behind a tree near Kingston 
"Kitsap County, Washington",July 2008,(Class A), - Two very tall hairy creatures seen running down the road at night near Indianola
"Kitsap County, Washington",Winter 1995,(Class A), - Mutliple daylight sightings in Suquamish
"Kitsap County, Washington",November 2007,(Class B), - Possible vocalizations near Indianola
"Kitsap County, Washington",June 2006,(Class A), - Jefferson Head encounter by community service group
"Kitsap County, Washington",September 2005,(Class B), - Possible vocalizations near Indianola
"Kitsap County, Washington",November 2005,(Class A), - Driver has noontime sighting near her home
"Kitsap County, Washington",July 1997,(Class A), - Forest worker has many encounters with bigfoot
"Kitsap County, Washington",July 2004,(Class B), - Bigfoot print in cement
"Kitsap County, Washington","May 2003, 2004",(Class A), - Homeowner sees huge animal on Bainbridge Island
"Kitsap County, Washington",June 2003,(Class A), - Wilderness guide in Indianola observes a large bipedal subject while hunting
"Kitsap County, Washington",September 2000,(Class A), - Late night sighting by motorists near Kingston
"Kitsap County, Washington",June 1991,(Class A), - Fisherman spots a large upright creature digging on the shore
"Kitsap County, Washington",June 1988,(Class A), - Sighting by two hikers
"Kitsap County, Washington",May 1973,(Class A), - Two witnesses see a crouched figure on the beach. It stood up and walked into the nearby woods
"Kittitas County, Washington",March 2024,(Class B)," - Climber reports bigfoot-type knock sounds near summit of Hex Mtn, 10 miles NW of Cle Elum"
"Kittitas County, Washington",October 2010,(Class B), - Heavy thuds and distinct rock clacking north of Teanaway Butte (Wenatchee NF)
"Kittitas County, Washington",August 2017,(Class B), - Possible encounter in darkness outside Cle Elem
"Kittitas County, Washington",October 2020,(Class B), - Possible sighting and track in the GMU 328 Naneum Unit near Ellensburg
"Kittitas County, Washington",September 2020,(Class B)," - Property owners hear vocalizations similar to Orangutan, near Easton."
"Kittitas County, Washington",July 2020,(Class B), - GOOD SPOT: Campers describe encounter on Box Canyon Creek outside CleElum
"Kittitas County, Washington",May 2017,(Class B), - Camper hears possible vocalizations after dark near Cooper Lake
"Kittitas County, Washington",January 2016,(Class A), - Hiker has an afternoon sighting behind a mountain resort in Cle Elum 
"Kittitas County, Washington",May 2014,(Class A), - Two men have a close up sighting during road crossing outside Cle Elum at sunset
"Kittitas County, Washington",December 2013,(Class B), - Family finds large tracks going through their yard near Cle Elum
"Kittitas County, Washington",October 2012,(Class B), - Hiker describes possible vocalizations and rocks thrown at a remote lake in the Alpine Lakes Wilderness
"Kittitas County, Washington",June 2011,(Class B), - Possible encounters while fishing at a lake near Easton
"Kittitas County, Washington",June 1992,(Class B), - Multible witnesses hear loud screams and have rocks thrown into camp near Cle Elum lake
"Kittitas County, Washington",July 1998,(Class B), - Screams wake campers on consecutive nights at Cle Elum Lake
"Kittitas County, Washington",July 1991,(Class B)," - Just before daybreak, camper hears loud vocalization near Lost Lake"
"Kittitas County, Washington",October 2000,(Class A)," - Daylight sighting by fisherman near Easton, Washington"
"Kittitas County, Washington",July 2000,(Class C), - Campers encounter large animal near Cle Elum
"Kittitas County, Washington",October 1997,(Class A), - Sasquatch seen while father and son were hunting elk
"Kittitas County, Washington",July 1997,(Class B)," - Campers hear loud guttral, high pitched  sceams. "
"Kittitas County, Washington",Winter 1996-97,(Class B), - Woman hears unrecognizable vocalizations near Cle Elum
"Kittitas County, Washington",Winter 1995,(Class B), - Man recalls seeing an unknown animal walking along Hwy. 97
"Kittitas County, Washington",September 1983,(Class B), - Couple hear vocalizations while camping at Milk Lake
"Kittitas County, Washington",November 1970,(Class B), - Four hunters find large tracks in snow outside their camp
"Kittitas County, Washington",July 1965,(Class A), - Three witnesses throwing rocks in lake see a Bigfoot peeking at them
"Klickitat County, Washington",July 2019,(Class A), - Kayaker describes daylight sighting on river near town of White Salmon
"Klickitat County, Washington",September 2010,(Class A), - Nighttime sighting by a motorist near BZ Corner
"Klickitat County, Washington",April 2006,(Class B), - Two turkey hunters near Trout Lake are screamed at by a large black animal
"Klickitat County, Washington",August 2004,(Class A), - Vocalizations and tense sighting reported by couple hiking and camping near Trout Lake
"Klickitat County, Washington",October 1988,(Class B), - Family hunting near Wahkiacus is stalked by a large animal
"Klickitat County, Washington",August 1993,(Class A), - Large prints found in mud and then vocalizations heard south of Yakama Reservation
"Klickitat County, Washington",September 2000,(Class B), - Hunter finds unrecognizable scat near Guler Mountain. 
"Klickitat County, Washington",April 1991,(Class A), - Hunters observed creature just before vocalization screams were heard
"Klickitat County, Washington",Spring 1990,(Class B), - Young girl sees road-crossing figure during car repair stop.
"Klickitat County, Washington",October 1982,(Class A), - Hunter observes trio of animals near Nestor Peak Lookout
"Klickitat County, Washington",May 1980,(Class B), - Recalling possible daylight sighting near Trout Lake as Mount St. Helens erupts
"Lewis County, Washington",November 2023,(Class A), - COWLITZ RIVER CLUSTER: Elk hunter motorist spots a sasquatch on Hwy 12 ten miles north of Packwood
"Lewis County, Washington",December 2021,(Class B), - Possible sighting of a Sasquatch crossing Interstate 5 at north end of Centralia
"Lewis County, Washington",July 2020,(Class B)," - COWLITZ RIVER CLUSTER: Picnicking family finds 17"" footprint 3.5 miles (crow) SE of Packwood"
"Lewis County, Washington",May 2020,(Class B), - Tracks Reported 5/24/2020 Lewis County Washington
"Lewis County, Washington",April 2020,(Class B), - Sasquatch snow tracks found at first seasonal entry onto Weyerhaeuser land near Vanson Lake
"Lewis County, Washington",July 2017,(Class B), - Woman delivering newspapers hears possible vocalizations near Randle
"Lewis County, Washington",November 2012,(Class A), - Hunter is confronted when he tries to shoot a deer near Winlock
"Lewis County, Washington",October 2015,(Class B), - Property owner outside Centralia describes multiple incidents
"Lewis County, Washington",August 2014,(Class B)," - Two men observe Strange Lights and a ""Finger"" up close near Mt. Saint Helens"
"Lewis County, Washington",November 2013,(Class A), - Hunter using game caller (squealing rabbit) has extended daylight sighting in Gifford Pinchot
"Lewis County, Washington",June 2013,(Class B), - Men exploring logging roads hear possible knocks and a branch break near Cinebar
"Lewis County, Washington",June 2012,(Class A), - Early afternoon sighting by hiker near Morton 
"Lewis County, Washington",January 2012,(Class B), - Rural resident records audio and photographs snow trackway near Cinebar
"Lewis County, Washington",July 2011,(Class B), - Vigorous wood knocking and vocalizations unnerve a backpacker near Packwood.
"Lewis County, Washington",June 2011,(Class B), - Possible evidence collected after a woman is hit in the hand by a rock near Napavine
"Lewis County, Washington",September 2010,(Class B), - Hunter hears chimp-like sounds north of the North Pass ski resort
"Lewis County, Washington",June 2010,(Class B), - Possible activity described around a home near Mossyrock
"Lewis County, Washington",May 2009,(Class B), - Fishermen at boat launch hear monkey-like vocalizations near Salkum
"Lewis County, Washington",August 2008,(Class B), - Hunter scouting for elk hears stick breaks & a loud scream-howl close to his tent near Randle
"Lewis County, Washington",January 2007,(Class A), - Memory told of almost running over a hair covered man-like figure laying in the road at night near Doty
"Lewis County, Washington",January 2007,(Class B), - Couple hears possible vocalizations half mile north of Winlock
"Lewis County, Washington",November 2006,(Class A), - Hunter describes close encounter outside Doty
"Lewis County, Washington",September 2006,(Class B), - Elk hunters finds large human-like track near Trout Lake
"Lewis County, Washington",Fall 2005,(Class A), - Local resident watches a sasquatch cross the road close to his home near Mossyrock
"Lewis County, Washington",September 2005,(Class B)," - Campers hear possible vocalizations in Gifford Pinchot NF, near Tarbell Trail"
"Lewis County, Washington",November 2004,(Class B), - Hunters hear early morning vocalizations near Mossy Rock
"Lewis County, Washington",June 04-05,(Class B), - High School friends camping at Rainbow Falls State Park hear vocalizations near Chehalis
"Lewis County, Washington",August 2003,(Class A), - Night watchmen at logging camp near Morton describes multiple incidents
"Lewis County, Washington",November 2002,(Class B), - Large footprints found in snow above Packwood
"Lewis County, Washington",September 2002,(Class B), - Vocalizations heard by couple at dawn near Randle
"Lewis County, Washington",September 2002,(Class A), - Morning sighting by three fishermen near the east end of Riffe Lake
"Lewis County, Washington",Summer 2002,(Class B)," - ""Chimp-like"" animal briefly seen by backcountry horseman near Winlock"
"Lewis County, Washington",September 2001 ,(Class A)," - Nighttime sighting by family on Hwy 12 near Packwood, Labor Day Weekend"
"Lewis County, Washington",May 2001,(Class A), - Afternoon sighting by family on I-5 near Chehalis
"Lewis County, Washington",October 2000,(Class B), - Woman recalls as a young girl possibly watching a sasquatch chase a deer through a cemetary in Morton
"Lewis County, Washington",October 2000,(Class A)," - Family encounters large ""gorilla"" along road west of Morton"
"Lewis County, Washington",April 2000,(Class A)," - Family views large, reddish-brown animal near their home outside of Morton"
"Lewis County, Washington",November 1998,(Class B), - Two hunters hear vocalizations they cannot identify near Randle
"Lewis County, Washington",November 1998,(Class B), - Lifelong hunter and fisherman has possible vocalization experiences near Packwood
"Lewis County, Washington",June 1996,(Class A), - Two boys see a large animal wading in pond near Morton
"Lewis County, Washington",Summer 1994?,(Class A), - Dirty white animal seen near apple orchard
"Lewis County, Washington",October 1990,(Class B), - Loud vocalizations heard above Riffe Lake
"Lewis County, Washington",Fall 1990,(Class B), - Loud low moan then rose quickly to a high pitched scream heard
"Lewis County, Washington",June 1981,(Class B), - Hikers off Lewis River Trail find large footprint east of Cougar
"Lewis County, Washington", 1980,(Class B), - Tracks found near a mountainside clear cut
"Lewis County, Washington",September 1980,(Class B), - Memory told of being followed and hearing possible vocalizations at a house near Napavine
"Lewis County, Washington",Summer 1978,(Class A), - Young girl recounts two encounters at the family farm near Chehalis
"Lewis County, Washington",November 1969,(Class A)," - A large bipedal animal seen in the headlights on hwy 12,  5 miles East of Packwood"
"Lewis County, Washington",November 1969,(Class A), - Large bipedal animal seen 5 miles East of Packwood on Hwy 12
"Lewis County, Washington",Fall 1967,(Class B)," - ""Brinson Monster"" "
"Lincoln County, Washington",August 2002,(Class B), - Man exploring canyons southeast of Grand Coulee is growled at by unknown animal
"Mason County, Washington",May 2023,(Class B), - Hikers report possible sasquatch vocals + stalking in center of Harstine Island
"Mason County, Washington",August 2017,(Class B), - Early Morning Howls Awaken Campers Near Liliwaup
"Mason County, Washington",January 2014,(Class B), - Horse trainer hears frightening vocalizations near Shelton
"Mason County, Washington",November 2010,(Class B), - Possible daytime encounter by a family hiking near Lake Cushman
"Mason County, Washington",August 2008,(Class B), - Possible vocalization heard near Lake Cushman and Dow Mountain
"Mason County, Washington",September 2010,(Class B), - Campers at Lake Cushman hear possible vocalizations 
"Mason County, Washington",March 2008,(Class B), - Husband and wife hear possible vocalizations on Harstine Island
"Mason County, Washington",November 2007,(Class A), - Daylight encounter with two hunters south of Union (w/ cellphone photos)
"Mason County, Washington",September 2006,(Class B), - Possible daytime sighting on Lake Cushman
"Mason County, Washington",October 2006,(Class B), - Possible vocalizations heard near Lake Cushman
"Mason County, Washington",September 2005,(Class A), - Nighttime sighting by motorist near Jarrel Cove State Park
"Mason County, Washington",February 1984/1996,(Class B), - Man shares encounters of an unknown subject
"Mason County, Washington",September 2003,(Class B), - Hartstene Island homeowners find footprints and hear strange vocalizations
"Mason County, Washington",November 2002,(Class B), - Two fishermen hear tree knocking and low roar
"Mason County, Washington",May 2002,(Class A), - Memory told of seeing two sasquatches by a river west of Union
"Mason County, Washington",July 2001,(Class B), - Environmental Engineer hears calling and responding screams
"Mason County, Washington",April 1996,(Class B), - Hikers find a large track
"Mason County, Washington",October 1993,(Class A), - Creature observed turning it's head and looking straight at witness
"Mason County, Washington",August 1992,(Class B), - Couple hear sounds and find footprints near Hoodsport
"Mason County, Washington",August 1992,(Class A), - Two teenage boys are approached during lakeside play
"Mason County, Washington",December 1984,(Class B), - Boy wakes and has sighting through bedroom window in Shelton
"Mason County, Washington",Summer 1978 or 79,(Class B), - Fisherman observes large rock flung into Hamma Hamma River
"Mason County, Washington",July 1960,(Class A), - Man and wife in car see a sasquatch eating frogs on the road
"Okanogan County, Washington",August 2015,(Class B), - Possible evening interaction by a river west of Mazama
"Okanogan County, Washington",May 2015,(Class B), - Campers hear possible night-time responses near Aeneas Valley Road
"Okanogan County, Washington",October 2014,(Class B), - Possible tracks photographed by an LEO hiking North of Loup Loup Pass
"Okanogan County, Washington",May 2012,(Class B), - Fisherman experiences possible daytime activity three consecutive trips near Conconully
"Okanogan County, Washington",September 2011,(Class B), - Camper has possible night-time sighting near Twisp River
"Okanogan County, Washington",August 2011,(Class B), - Campers record strange evening and morning vocalizations near Salmon Meadows
"Okanogan County, Washington",July 2008,(Class A), - Morning sighting by a woodcutter NW of Conconully
"Okanogan County, Washington",May 1996,(Class A), - Daylight sighting by fisherman at Lake Chopaka
"Okanogan County, Washington",October 2006,(Class B), - Hunter hears guttural scream while on overnight hike outside of Oroville
"Okanogan County, Washington",October 2006,(Class B), - Possible vocalizations heard from campground outside Okanogan
"Okanogan County, Washington",October 2006,(Class B), - Possible whistles and wood knocks heard between Tonasket and Republic
"Okanogan County, Washington",June 2006,(Class A), - Dusk sighting by a couple near a spring outside Omak
"Okanogan County, Washington",October 2006,(Class B), - Hunters find possible footprints and possible tree breaks near Winthrop
"Okanogan County, Washington",August 2006,(Class B), - Possible vocalizations directed at camp of boy scouts near Omak
"Okanogan County, Washington",October 2005,(Class B), - Possible stalking of deer hunters near Falls Creek
"Okanogan County, Washington",August 1986,(Class B), - Campers hear multiple vocalizations at Loup Loup Campground
"Okanogan County, Washington",January 1993,(Class A), - Equipment operator finds tracks in three feet of snow near Molson
"Okanogan County, Washington",October 2001,(Class B), - Two deer hunters find tracks near Buckhorn Mountain
"Okanogan County, Washington",October 2000,(Class B), - Campers hear possible vocalizations in the Okanogon Nat. Forest
"Okanogan County, Washington",October 1997,(Class B), - Screams heard by hunters
"Okanogan County, Washington",May 1996,(Class A), - 1996 Memorial Day Weekend Video
"Okanogan County, Washington",June 1994,(Class B), - Campers hear complex vocalization
"Okanogan County, Washington",January 1976,(Class A)," - Strong odor, crunching footsteps and large human-like tracks found in snow"
"Okanogan County, Washington",October 1970,(Class B), - Young man has several possible day-time encounters near Moses Mountain in the '70s
"Okanogan County, Washington",September 1949,(Class B), - Memory told of hearing possible daytime knocking while working as a Fire Guard in the Pasayten Wilderness
"Pacific County, Washington",March 2011,(Class A), - Family has frequent visitors at their home near Ocean Park
"Pacific County, Washington",April 2008,(Class A)," - Young man, on camping trip with his family, sees a sasquatch near Naselle"
"Pacific County, Washington",April 2001,(Class B), - Salmon surveyor has unusual experience near confluence of Fall River and Boss Creek
"Pacific County, Washington",November 1996,(Class A)," - Father and son glimpse large, upright animal while hunting near Smith Slough"
"Pacific County, Washington",December 1992,(Class B), - Couple sees bipedal creature jump across a logging road near Naselle
"Pacific County, Washington",July 1979,(Class B), - Hitchhiker hears loud vocalization just outside Ilwaco
"Pend Oreille County, Washington",August 2020,(Class B), - Backpackers describe possible camp stalking by a sasquatch around midnight near Salmo-Priest Wilderness
"Pend Oreille County, Washington",December 2018,(Class B), - Snowmobilers hear wood knocks along Dry Canyon Road near Caldwell Lake.
"Pend Oreille County, Washington",October 2017,(Class B)," - Hunters experience possible vocalizations, wood knocks, felled trees, over eight days in Squaw Valley"
"Pend Oreille County, Washington",May 2017,(Class A), - Hiker has daytime sighting in Colville National Forest
"Pend Oreille County, Washington",July 2005,(Class B), - Possible moonlight sighting by prospector outside Metaline Falls City
"Pend Oreille County, Washington",April 2002,(Class B), - Possible sighting near Sullivan Lake
"Pend Oreille County, Washington",August 2002,(Class A), - Woman kayaking with family at Sullivan lake sees bigfoot
"Pend Oreille County, Washington",September 1998,(Class A), - Three sets of tracks found
"Pend Oreille County, Washington",October 1996,(Class A), - Deer hunters find footprints in mud
"Pend Oreille County, Washington",August 1996,(Class B), - Campers hear loud scream in National Forest
"Pend Oreille County, Washington",May 1991,(Class A), - Nighttime sighting by motorists
"Pierce County, Washington",May 2021,(Class B), - Possible Vocalizations Near Silver Lake
"Pierce County, Washington",August 2016,(Class B), - Possible sasquatch vocalizations at Oliver Lake in Mt. Ranier National Park
"Pierce County, Washington",September 2018,(Class B), - Mother camping with her kids hears loud vocalizations from outside their tent at Joemma Beach State Park campground
"Pierce County, Washington",September 2018,(Class B)," - Howls in September, 3AM, from marsh south of Steilacoom, due west of McChord AFB"
"Pierce County, Washington",August 2018,(Class B), - Friends camping at Cedar Lake (10mi E of Wilkeson) hear possible BF vocals
"Pierce County, Washington",November 2014,(Class B), - Possible knocks and vocalization heard from inside a home near Buckley
"Pierce County, Washington",May May 29 201,(Class A), - Man and girlfriend have sighting on Joint Base Lewis-McChord road near Spanaway
"Pierce County, Washington",March 2016,(Class B), - Woman and her daughter hear strange vocalizations near Bonney Lake
"Pierce County, Washington",November 2015,(Class A), - Man returning home late at night sees gray biped near Key Center
"Pierce County, Washington",November 2014,(Class B), - Possible vocalizations heard at night in southern Eatonville
"Pierce County, Washington",November 2014,(Class B), - Resident outside for a smoke in the early morning hours hears strange vocalizations near Spanaway
"Pierce County, Washington",October 2014,(Class B), - Mushroom picking couple scared out of a forest near Wilkeson
"Pierce County, Washington",March 2014,(Class A), - Off roader testing his snow machine observes an Oversized Gorilla near Ashford.
"Pierce County, Washington",October 2012,(Class B), - Homeowner hears unusual vocalizations in his backyard near Orting
"Pierce County, Washington",October 2012,(Class A), - Motorist sees a large hairy biped cross the road at dusk in Spanaway
"Pierce County, Washington",October 2012,(Class B), - Loud late night stomping frightens backpackers near Echo Lake 
"Pierce County, Washington",September 2012,(Class A), - Man driving home through Joint Base Lewis-McChord sees an animal walk across the road south of Spanaway
"Pierce County, Washington",June 2012,(Class B), - Gibberish-like talking heard at a residence near DuPont
"Pierce County, Washington",May 2012,(Class B)," - Family has frequent visits by someone they call the ""Screaming Man"" near Ashford"
"Pierce County, Washington",September 2011,(Class B), - Possible encounter by young campers in their tent after hearing woodknocks near Buckley
"Pierce County, Washington",May 2011,(Class B), - Man and dog enjoying the evening on a river have rocks thrown toward them near Yelm
"Pierce County, Washington",June 2010,(Class B), - Man and granddaughter hear possible vocals of two creatures approaching them near Ashford
"Pierce County, Washington",May 2010,(Class A), - Hikers near Eatonville surprise a sasquatch drinking from the river
"Pierce County, Washington",March 2010,(Class B), - Possible vocalizations and rock piles in a backyard near Eatonville (w/photos)
"Pierce County, Washington",September 2009,(Class B), - Couple stop at roadside viewpoint and hear vocalization near Elbe
"Pierce County, Washington",November 2008,(Class B)," - Two hunters describe vocalizations, stalking, rock-throwing, near Elbe"
"Pierce County, Washington",September 2008,(Class B), - Man hears possible vocalizations close to his home near Eatonville
"Pierce County, Washington",September 2008,(Class B), - Man camping alone hears possible wood knock and vocalization near Greenwater
"Pierce County, Washington",August 2008,(Class B), - Couple camping NW of Mt. Rainier hear loud vocals and footsteps
"Pierce County, Washington",June 2008,(Class A), - Dusk and nighttime sightings by couple at rock quarry near Greenwater
"Pierce County, Washington",July 2007,(Class B), - Possible sighting by clay pigeon shooters near the base of Mt. Rainier
"Pierce County, Washington",August 2006,(Class A), - Forest worker has an encounter near Mount Rainier
"Pierce County, Washington",November 2005,(Class B), - Couple camping at a lake near Greenwater experience possible screams
"Pierce County, Washington",April 2005,(Class B), - Possible tracks and vocalizations outside Ashford
"Pierce County, Washington",September 2002,(Class B)," - Hunter hears unknown vocalization in the distance, south of Lost Lake in the Norse Peak Wilderness"
"Pierce County, Washington",September 2003,(Class B), - Scream heard while staying overnight near Greenwater
"Pierce County, Washington",April 2003,(Class B), - Unusual sounds heard near Enumclaw
"Pierce County, Washington",November 2002,(Class A), - Upright creature walks on two legs towards hunter near Mt. Rainier National Park
"Pierce County, Washington",November 2002,(Class B), - Man hears loud vocalization while woodworking on his porch
"Pierce County, Washington",July 2002,(Class B), - Teenage girl and her younger sister chased out of the woods near Greenwater
"Pierce County, Washington",May 2001,(Class A), - Family on bikes sees black hairy creature walking in a riverbed near Fairfax
"Pierce County, Washington",April 2001,(Class A), - Woman see's dark upright man-like figure while walking dogs
"Pierce County, Washington",October 2000,(Class A)," - Passing motorist observes a tall, hairy animal in the headlights along a side road just off of the Orting-Kapowsin Highway"
"Pierce County, Washington",August 2000,(Class B), - Man working his land hears rock against wood sound and distant answer
"Pierce County, Washington",March 2000,(Class B), - Loud knocking of wood striking another piece of wood
"Pierce County, Washington",August 1999,(Class B), - Loud vocalizations sounds heard
"Pierce County, Washington",April 1999,(Class B), - Man and wife find large tracks with large stride east of Greenwater
"Pierce County, Washington",September 1998 ?-,(Class A), - Boy observes sasquatch on hillside near Orting
"Pierce County, Washington",November 1997,(Class A), - Footprints found with huge Toes on each print
"Pierce County, Washington",June 1997,(Class B), - Marines on a training mission have a possible night encounter on Fort Lewis
"Pierce County, Washington",August 1996,(Class A), - Skydivers witness creature while flying over mountain
"Pierce County, Washington",January 1996,(Class B), - Sounds heard answered by another more distant source
"Pierce County, Washington",June 1995,(Class A), - Sighting by campers
"Pierce County, Washington",May 1995,(Class A), - Five member family camping see a hairy upright animal
"Pierce County, Washington",September 1994,(Class A), - Daylight sighting reported to rangers by park visitor at Mount Rainier National Park
"Pierce County, Washington",Spring 1993,(Class B), - Woman recalls driving at night and feeling her car get shoved by a large biped near Steilacoom
"Pierce County, Washington",January early 90's,(Class A)," - Two experienced hunters see bigfoot, throw rock at it, and watch it turn and walk into timber"
"Pierce County, Washington",June 1991,(Class A), - Civil War Reenactor sees bigfoot cross railroad tracks
"Pierce County, Washington",July 1990,(Class A)," - Father remembers fishing with his son, appearing to be observed by a sasquatch which is later sighted on the far side of the lake near McKenna"
"Pierce County, Washington",July 1987,(Class A), - Motorist returning from fireworks display gets a good look at a bigfoot near Ashford
"Pierce County, Washington",September 1986,(Class A), - Recollection of a road crossing at dusk while working as an MP on Fort Lewis
"Pierce County, Washington",August 1983,(Class B), - Camper diverts tall creature approaching him near Puyallup
"Pierce County, Washington",May  1983,(Class A), - Man describes childhood encounter near Sunrise Elementary School in Puyallup 
"Pierce County, Washington",August 1982,(Class A), - US Army Ranger training mission near Greenwater finds large barefoot human shaped tracks
"Pierce County, Washington",July 1982,(Class B), - Man recollects he and his family being followed and hearing close vocalization on Mt. Rainier
"Pierce County, Washington",May 1981,(Class B), - Children have sighting near Alder Lake
"Pierce County, Washington",Spring 1980,(Class B), - Sounds heard like growling
"Pierce County, Washington",December 1979,(Class A), - Family sees an upright figure covered with black hair that walks across the road in front of their car
"Pierce County, Washington",November 1979,(Class B), - Two hunters find large track
"Pierce County, Washington",July 1978,(Class A), - Close range daylight encounter involving two young teenage sisters near Fort Lewis
"Pierce County, Washington",April 1978,(Class B), - 25-50 Footprints found near Orting
"Pierce County, Washington",October 1977,(Class B), - Man recalls his possible nighttime encounter while instructing at Ft. Lewis
"Pierce County, Washington",September 1976,(Class A), - Memory told of close encounter with a sasquatch while picking up clay pigeons near Sumner
"Pierce County, Washington",October 1975,(Class A), - Lake Tapps
"Pierce County, Washington",October 1975,(Class A), - Bonney Lake
"Pierce County, Washington",Spring 1973 or 74,(Class A), - Young bike riders see large animal cross road
"Pierce County, Washington",March 1971,(Class B), - Soldier sees large figure while on patrol at Fort Lewis
"Pierce County, Washington",October 1970 ,(Class A)," - While watching TV at night, teen has sighting through window in Spanaway"
"Pierce County, Washington",Summer 1967-1970 ,(Class B), - Youths in Summer Camp have noisy nighttime experience
"Skagit County, Washington",September 2018,(Class B), - Mushroom picker has ongoing activity in same area over many years near Grandy Lake.
"Skagit County, Washington",April 2018,(Class B), - Couple has possible ongoing activity including their house trailer moved one night near Clear Lake
"Skagit County, Washington",November 2011,(Class B), - Driver observes two dark figures on the roadside near Rainy Pass
"Skagit County, Washington",August 2010,(Class B), - Possible footprints found and a cast made on the Suiattle River near Darrington (w/photos)
"Skagit County, Washington",October 2010,(Class A), - Hunter has a daylight sighting of a tall biped west of Darrington
"Skagit County, Washington",June 2009,(Class A)," - Man has a close encounter with a large, upright creature in a swamp near Big Lake"
